DET,KDET,Coleman A. Young International Airport,"Detroit, Michigan, United States",UTC−05:00,Mar-Nov
DEX,,Nop Goliat Dekai Airport[1],"Yahukimo, Indonesia",UTC+09:00,
DEZ,OSDZ,Deir ez-Zor Airport,"Deir ez-Zor, Syria",UTC+02:00,Mar-Oct
DFI,KDFI,Defiance Memorial Airport,"Defiance, Ohio, United States",UTC−05:00,Mar-Nov
DFP,,Drumduff Airport,"Drumduff, Queensland, Australia",UTC+10:00,
DFW,KDFW,Dallas/Fort Worth International Airport,"Dallas / Fort Worth, Texas, United States",UTC−06:00,Mar-Nov
DGA,MZPB,Dangriga Airport,"Dangriga, Belize",UTC−06:00,
DGC,,Degeh Bur Airport,"Degeh Bur, Ethiopia",UTC+03:00,
DGD,YDGA,Dalgaranga Airport[1],"Dalgaranga Gold Mine, Western Australia, Australia",UTC+08:00,
DGE,YMDG,Mudgee Airport,"Mudgee, New South Wales, Australia",UTC+10:00,Oct-Apr
DGF,,Douglas Lake Airport[1],"Douglas Lake, British Columbia, Canada",UTC−08:00,Mar-Nov
DGH,VEDO,Deoghar Airport[3],"Deoghar, Jharkhand, India",UTC+05:30,
DGK,,Dugong Beach Lodge Airstrip[1],"Dugong Beach Lodge, Mozambique",UTC+02:00,
DGL,KDGL,Douglas Municipal Airport,"Douglas, Arizona, United States",UTC−07:00,
DGM,,Dandugama Seaplane Base[1],"Colombo, Sri Lanka",UTC+05:30,
DGN,KNDY,Naval Surface Warfare Center Dahlgren Division (FAA: NDY),"Dahlgren, Virginia, United States",UTC−05:00,Mar-Nov
DGO,MMDO,General Guadalupe Victoria International Airport,"Durango, Durango, Mexico",UTC−06:00,Apr-Oct
DGP,EVDA,Daugavpils International Airport,"Daugavpils, Latvia",UTC+02:00,Mar-Oct
DGR,NZDA,Dargaville Aerodrome,"Dargaville, New Zealand",UTC+12:00,Sep-Apr
DGT,RPVD,Sibulan Airport (Dumaguete Airport),"Dumaguete, Philippines",UTC+08:00,
DGU,DFOD,Dédougou Airport,"Dédougou, Burkina Faso",UTC±00:00,
DGW,KDGW,Converse County Airport,"Douglas, Wyoming, United States",UTC−07:00,Mar-Nov
DHA,OEDR,King Abdulaziz Air Base,"Dhahran, Saudi Arabia",UTC+03:00,
DHB,,Deer Harbor Sea Plane Base[1],"Deer Harbor, Washington, United States",UTC−08:00,Mar-Nov
DHD,YDRH,Durham Downs Airport,"Durham Downs, Queensland, Australia",UTC+10:00,
DHF,OMAM,Al Dhafra Air Base,"Abu Dhabi, United Arab Emirates",UTC+04:00,
