IDC,,Chilonzuine Island Airstrip[1],"Chilonzuine Island, Mozambique",UTC+02:00,
IDF,FZCB,Idiofa Airport,"Idiofa, Democratic Republic of the Congo",UTC+01:00,
IDG,KIDG,Ida Grove Municipal Airport,"Ida Grove, Iowa, United States",UTC−06:00,Mar-Nov
IDH,KGIC,Idaho County Airport[1] (FAA: GIC),"Grangeville, Idaho, United States",UTC−07:00,Mar-Nov
IDI,KIDI,Indiana County–Jimmy Stewart Airport,"Indiana, Pennsylvania, United States",UTC−05:00,Mar-Nov
IDK,YIDK,Indulkana Airport,"Indulkana, South Australia, Australia",UTC+09:30,Oct-Apr
IDN,,Indagen Airport,"Indagen, Papua New Guinea",UTC+10:00,
IDO,SWIY,Santa Isabel do Morro Airport,"Santa Isabel do Morro, Tocantins, Brazil",UTC−03:00,
IDP,KIDP,Independence Municipal Airport,"Independence, Kansas, United States",UTC−06:00,Mar-Nov
IDR,VAID,Devi Ahilyabai Holkar International Airport,"Indore, Madhya Pradesh, India",UTC+05:30,
IDY,LFEY,Île d'Yeu Aerodrome,"Île d'Yeu, Pays de la Loire, France",UTC+01:00,Mar-Oct
IEG,EPZG,Zielona Góra Airport,"Zielona Góra, Poland",UTC+01:00,Mar-Oct
IEJ,RORE,Iejima Airport,"Iejima, Okinawa, Japan",UTC+09:00,
IES,EDAU,Riesa–Göhlis Airfield,"Riesa, Saxony, Germany",UTC+01:00,Mar-Oct
IEV,UKKK,Kyiv International Airport (Zhuliany),"Kyiv, Ukraine",UTC+02:00,Mar-Oct
IFA,KIFA,Iowa Falls Municipal Airport,"Iowa Falls, Iowa, United States",UTC−06:00,Mar-Nov
IFF,YIFY,Iffley Airport,"Iffley, Queensland, Australia",UTC+10:00,
IFH,OIFE,Hesa Air Base[1],"Shahin Shahr, Iran",UTC+03:30,Mar-Sep
IFJ,BIIS,Ísafjörður Airport,"Ísafjörður, Iceland",UTC±00:00,
IFL,YIFL,Innisfail Airport,"Innisfail, Queensland, Australia",UTC+10:00,
