RIN,AGRC,Ringgi Cove Airport[1],"Ringgi Cove, Solomon Islands",,
RIO[1],,metropolitan area2,"Rio de Janeiro, Brazil",,
RIR,KRIR,Flabob Airport,"Riverside, California, United States",,
RIS,RJER,Rishiri Airport[1],"Rishiri, Rishiri Island, Japan",,
RIV,KRIV,March Air Reserve Base,"Riverside, California, United States",,
RIW,KRIW,Central Wyoming Regional Airport,"Riverton, Wyoming, United States",,
RIX,EVRA,Riga International Airport,"Riga, Latvia",,
RIY,OYRN,Riyan Airport[1],"Mukalla, Yemen",,
RIZ,,Rizhao Shanzihe Airport,"Rizhao, Shandong, China",,
RJA,VORY,Rajahmundry Airport,"Rajahmundry, Andhra Pradesh, India",,
RJB,VNRB,Rajbiraj Airport[1],"Rajbiraj, Nepal",,
RJH,VGRJ,Shah Makhdum Airport,"Rajshahi, Bangladesh",,
RJI,,Rajouri Airport[1],"Rajouri, Jammu and Kashmir, India",,
RJK,LDRI,Rijeka Airport,"Rijeka, Croatia",,
RJL,LELO,Logroño–Agoncillo Airport,"Logroño, La Rioja, Spain",,
RJM,,Marinda Airport[1],"Waisai, Indonesia",,
RJN,OIKR,Rafsanjan Airport[1],"Rafsanjan, Iran",,
RKA,NTKK,Aratika-Nord Airport[1],"Aratika, Tuamotus, French Polynesia",,
RKD,KRKD,Knox County Regional Airport,"Rockland, Maine, United States",,
RKE,EKRK,Roskilde Airport,"Copenhagen, Denmark",,
RKH,KUZA,Rock Hill/York County Airport[1] (FAA: UZA),"Rock Hill, South Carolina, United States",,
RKI,WIBR,Rokot Airport,"Sipura, Indonesia",,
RKP,KRKP,Aransas County Airport,"Rockport, Texas, United States",,
RKR,KRKR,Robert S. Kerr Airport,"Poteau, Oklahoma, United States",,
RKS,KRKS,Rock Springs–Sweetwater County Airport,"Rock Springs, Wyoming, United States",,
RKT,OMRK,Ras Al Khaimah International Airport,"Ras al-Khaimah, United Arab Emirates",,
RKU,,Kairuku Airport[1],"Yule Island, Papua New Guinea",,
RKV,BIRK,Reykjavík Airport,"Reykjavík, Iceland",,
RKW,KRKW,Rockwood Municipal Airport,"Rockwood, Tennessee, United States",,
RKY,,Rokeby Airport[1],"Rokeby, Queensland, Australia",,
RKZ,ZURK,Shigatse Peace Airport,"Shigatse, Tibet Autonomous Region, China",,
RLD,KRLD,Richland Airport,"Richland, Washington, United States",,
RLG,ETNL,Rostock–Laage Airport,"Rostock, Mecklenburg-Vorpommern, Germany",,
RLK,ZBYZ,Bayannur Tianjitai Airport[1],"Bayannur, Inner Mongolia, China",,
RLO,SAOS,Valle del Conlara Airport[1],"Villa de Merlo, San Luis, Argentina",,
RLP,,Rosella Plains Airport[1],"Rosella Plains, Queensland, Australia",,
RLR,,Relais de la Reine Airport[1],"Isalo, Madagascar",,
RLT,DRZL,Arlit Airport,"Arlit, Niger",,
RMA,YROM,Roma Airport,"Roma, Queensland, Australia",,
RMB,OOBR,Buraimi Airport[1],"Buraimi, Oman",,
RMD,VORG,Ramagundam Airport (Basanth Nagar Airport),"Ramagundam, Telangana, India",,
RME,KRME,Griffiss International Airport,"Rome, New York, United States",,
RMF,HEMA,Marsa Alam International Airport,"Marsa Alam, Egypt",,
RMG,KRMG,Richard B. Russell Airport,"Rome, Georgia, United States",,
RMI,LIPR,Federico Fellini International Airport,"Rimini, Emilia-Romagna, Italy",,
RMK,YREN,Renmark Airport,"Renmark, South Australia, Australia",,
RML,VCCC,"Colombo International Airport, Ratmalana","Colombo, Sri Lanka",UTC+05:30,
RMN,,Rumginae Airport,"Rumginae, Papua New Guinea",,
RMP,PFMP,Rampart Airport,"Rampart, Alaska, United States",,
RMQ,RCMQ,Taichung Airport (Taichung Ching Chuan Kang Airport),"Taichung, Taiwan",,
RMS,ETAR,Ramstein Air Base,"Ramstein, Rhineland-Palatinate, Germany",,
RMT,NTAM,Rimatara Airport[1],"Rimatara, Austral Islands, French Polynesia",,
RMU,LEMI,Región de Murcia International Airport[1],"Murcia / Cartagena, Murcia, Spain",,
RMY,KMPI,Mariposa-Yosemite Airport[1] (FAA: MPI),"Mariposa, California, United States",,
RNA,AGAR,Ulawa Airport,"Arona, Ulawa Island, Solomon Islands",,
RNB,ESDF,Ronneby Airport,"Ronneby / Karlskrona, Sweden",,
RNC,KRNC,Warren County Memorial Airport,"McMinnville, Tennessee, United States",,
RND,KRND,Randolph Air Force Base,"San Antonio, Texas, United States",,
RNE,LFLO,Roanne Renaison Airport,"Roanne, Rhône-Alpes, France",,
RNG,,Rangely Airport[1] (FAA: 4V0),"Rangely, Colorado, United States",,
RNH,KRNH,New Richmond Regional Airport,"New Richmond, Wisconsin, United States",,
RNI,MNCI,Corn Island Airport,"Corn Islands, Nicaragua",,
RNJ,RORY,Yoron Airport[1],"Yoronjima, Amami Islands, Japan",,
RNL,AGGR,Rennell/Tingoa Airport[1],"Rennell Island, Solomon Islands",,
RNM,OOGB,Qarn Alam Airport[1],"Qarn Alam, Oman",,
RNN,EKRN,Bornholm Airport,"Rønne, Denmark",,
RNO,KRNO,Reno–Tahoe International Airport,"Reno, Nevada, United States",,
RNP,,Rongelap Airport,"Rongelap Atoll, Marshall Islands",,
RNR,,Robinson River Airport[1],"Robinson River, Papua New Guinea",,
RNS,LFRN,Rennes–Saint-Jacques Airport,"Rennes, Brittany, France",,
RNT,KRNT,Renton Municipal Airport,"Renton, Washington, United States",,
RNU,WBKR,Ranau Airport[1],"Ranau, Sabah, Malaysia",,
RNZ,KRZL,Jasper County Airport (FAA: RZL),"Rensselaer, Indiana, United States",,
ROA,KROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),"Roanoke, Virginia, United States",,
ROB,GLRB,Roberts International Airport,"Monrovia, Liberia",,
ROC,KROC,Greater Rochester International Airport,"Rochester, New York, United States",,
ROD,FARS,Robertson Airfield[1],"Robertson, South Africa",,
ROF,,Montague Airport[1] (Yreka Rohrer Field) (FAA: 1O5),"Montague / Yreka, California, United States",,
ROG,KROG,Rogers Municipal Airport (Carter Field),"Rogers, Arkansas, United States",,
ROH,YROB,Robinhood Airport[1],"Robinhood, Queensland, Australia",,
ROI,VTUV,Roi Et Airport,"Roi Et, Thailand",,
ROK,YBRK,Rockhampton Airport,"Rockhampton, Queensland, Australia",,
ROL,,Roosevelt Municipal Airport,"Roosevelt, Utah, United States",,
ROM[1],,metropolitan area3,"Rome, Lazio, Italy",,
RON,SKPA,Juan José Rondón Airport[1],"Paipa, Colombia",,
ROO,SWRD,Maestro Marinho Franco Airport,"Rondonópolis, Mato Grosso, Brazil",,
ROP,PGRO,Rota International Airport (FAA: GRO),"Rota, Northern Mariana Islands",,
ROR,PTRO,Roman Tmetuchl International Airport,"Koror, Palau",,
ROS,SAAR,Rosario – Islas Malvinas International Airport,"Rosario, Santa Fe, Argentina",,
ROT,NZRO,Rotorua Regional Airport,"Rotorua, New Zealand",,
ROU,LBRS,Ruse Airport,"Ruse, Bulgaria",,
ROV,URRP,Platov International Airport,"Novocherkassk, Rostov Oblast, Russia",,
ROW,KROW,Roswell International Air Center,"Roswell, New Mexico, United States",,
ROX,KROX,Roseau Municipal Airport (Rudy Billberg Field),"Roseau, Minnesota, United States",,
ROY,SAWM,Río Mayo Airport[1],"Río Mayo, Chubut, Argentina",,
ROZ,LERT,US Naval Station Rota[1],"Rota, Andalusia, Spain",,
RPA,VNRP,Rolpa Airport[1],"Rolpa, Nepal",,
RPB,YRRB,Roper Bar Airport,"Roper Bar, Northern Territory, Australia",,
RPI,,Rampi Airport,"Rampi, Indonesia",,
RPM,YNGU,Ngukurr Airport[1],"Ngukurr, Northern Territory, Australia",,
RPN,LLIB,Rosh Pina Airport,"Rosh Pinna, Israel",,
RPR,VARP,Swami Vivekananda Airport,"Raipur, Chhattisgarh, India",,
RPV,,Roper Valley Airport[1],"Roper Valley, Northern Territory, Australia",,
RPX,KRPX,Roundup Airport,"Roundup, Montana, United States",,
-RQ-,,,,,
RQA,ZWRQ,Ruoqiang Loulan Airport,"Ruoqiang, Xinjiang, China",,
RQW,,Qayyarah Airfield West[1],"Qayyarah, Iraq",,
RRE,,Marree Airport[1],"Marree, South Australia, Australia",,
RRG,FIMR,Sir Gaëtan Duval Airport,"Rodrigues Island, Mauritius",,
RRI,,Barora Airport[1],"Barora, Solomon Islands",,
RRJ,SBJR,Jacarepaguá Airport[1],"Barra da Tijuca, Rio de Janeiro, Brazil",,
RRK,VERK,Rourkela Airport,"Rourkela, Odisha, India",,
RRL,KRRL,Merrill Municipal Airport,"Merrill, Wisconsin, United States",,
RRM,,Marromeu Airport[1],"Marromeu, Mozambique",,
RRR,NTKO,Raroia Airport,"Raroia, Tuamotus, French Polynesia",,
RRS,ENRO,Røros Airport,"Røros, Norway",,
RRT,KRRT,Warroad International Memorial Airport (Swede Carlson Field),"Warroad, Minnesota, United States",,
RRV,,Robinson River Airport[1],"Robinson River, Northern Territory, Australia",,
RSA,SAZR,Santa Rosa Airport,"Santa Rosa, La Pampa, Argentina",,
RSB,,Roseberth Airport[1],"Roseberth, Queensland, Australia",,
RSD,MYER,Rock Sound International Airport[1],"Rock Sound, Eleuthera Island, Bahamas",,
RSE,,Rose Bay Water Airport[1],"Sydney, New South Wales, Australia",,
RSH,PARS,Russian Mission Airport,"Russian Mission, Alaska, United States",,
RSI,,Red Sea International Airport,"Red Sea Project, Tabuk Province, Saudi Arabia",,
RSJ,,Rosario Seaplane Base (FAA: W49),"Orcas Island, Washington, United States",,
RSK,WASC,Abresso Airport[1],"Ransiki, Indonesia",,
RSL,KRSL,Russell Municipal Airport,"Russell, Kansas, United States",,
RSN,KRSN,Ruston Regional Airport,"Ruston, Louisiana, United States",,
RSS,HSDZ,Damazin Airport[1],"Ad-Damazin, Sudan",,
RST,KRST,Rochester International Airport,"Rochester, Minnesota, United States",,
RSU,RKJY,Yeosu/Suncheon Airport[1],"Yeosu / Suncheon, South Korea",,
RSW,KRSW,Southwest Florida International Airport,"Fort Myers, Florida, United States",,
RSX,,Rouses Point Seaplane Base[1] (FAA: K21),"Rouses Point, New York, United States",,
RTA,NFNR,Rotuma Airport[1],"Rotuma Island, Fiji",,
RTB,MHRO,Juan Manuel Gálvez International Airport,"Roatán, Honduras",,
RTC,VARG,Ratnagiri Airport,"Ratnagiri, Maharashtra, India",,
RTG,WATG,Frans Sales Lega Airport[1],"Ruteng, Indonesia",,
RTI,,David Constantijn Saudale Airport[1],"Rote Island (Roti), Indonesia",,
RTL,,Spirit Lake Municipal Airport[1] (FAA: 0F3),"Spirit Lake, Iowa, United States",,
RTM,EHRD,Rotterdam The Hague Airport,"Rotterdam, Netherlands",,
RTN,KRTN,Raton Municipal Airport (Crews Field),"Raton, New Mexico, United States",,
RTP,YRTP,Rutland Plains Airport[1],"Rutland Plains, Queensland, Australia",,
RTS,YRTI,Rottnest Island Airport,"Rottnest Island, Western Australia, Australia",,
RTW,UWSS,Saratov Tsentralny Airport,"Saratov, Saratov Oblast, Russia",,
RTY,YMYT,Merty Merty Airport[1],"Merty Merty, South Australia, Australia",,
RUA,HUAR,Arua Airport,"Arua, Uganda",,
RUD,OIMJ,Shahroud Airport[1],"Shahrud, Iran",,
RUE,,Butembo Airport[1],"Butembo, Democratic Republic of the Congo",,
RUF,WAJE,Yuruf Airport[1],"Yuruf, Indonesia",,
RUG,ZSRG,Rugao Air Base,"Rugao, Jiangsu, China",,
