TPG,WMBI,Taiping Airport[1],"Taiping, Perak, Malaysia"
TPH,KTPH,Tonopah Airport,"Tonopah, Nevada, United States"
TPI,AYTI,Tapini Airport[1],"Tapini, Papua New Guinea"
TPJ,VNTJ,Taplejung Airport[1],"Taplejung, Nepal"
TPK,WITA,Teuku Cut Ali Airport[1],"Tapaktuan, Indonesia"
TPL,KTPL,Draughon–Miller Central Texas Regional Airport,"Temple, Texas, United States"
TPN,SETI,Tiputini Airport[1],"Tiputini, Ecuador"
TPP,SPST,Cad. FAP Guillermo del Castillo Paredes Airport[1],"Tarapoto, Peru"
TPQ,MMEP,Amado Nervo International Airport,"Tepic, Nayarit, Mexico"
TPR,YTMP,Tom Price Airport,"Tom Price, Western Australia, Australia"
TPS,LICT,Vincenzo Florio Airport Trapani–Birgi,"Trapani, Sicily, Italy"
TPT,,Tapeta Airport[1],"Tapeta, Liberia"
TPU,VNTP,Tikapur Airport[1],"Tikapur, Nepal"
TPX,NTTU,Tupai Airport[1],"Tūpai, Society Islands, French Polynesia"
TQD,ORAT,Al-Taqaddum Air Base[1],"Fallujah, Iraq"
TQL,USDS,Tarko-Sale Airport[1],"Tarko-Sale, Yamalo-Nenets Autonomous Okrug, Russia"
TQN,OATQ,Taloqan Airport,"Taloqan, Afghanistan"
TQP,YTEE,Trepell Airport,"Trepell, Queensland, Australia"
TQQ,,Maranggo Airport[1],"Tomia Island, Indonesia"
TQS,SKTQ,Captain Ernesto Esguerra Cubides Air Base[1],"Tres Esquinas, Colombia"
TRA,RORT,Tarama Airport[1],"Tarama, Miyako Islands, Japan"
TRB,SKTU,Gonzalo Mejía Airport[1],"Turbo, Colombia"
TRC,MMTC,Francisco Sarabia International Airport (Torreón Int'l),"Torreón, Coahuila, Mexico"
TRD,ENVA,"Trondheim Airport, Værnes","Trondheim, Norway"
TRE,EGPU,Tiree Airport,"Tiree, Scotland, United Kingdom"
TRF,ENTO,"Sandefjord Airport, Torp","Sandefjord / Oslo, Norway"
TRG,NZTG,Tauranga Airport,"Tauranga, New Zealand"
TRH,,Trona Airport (FAA: L72),"Trona, California, United States"
TRI,KTRI,Tri-Cities Regional Airport,"Bristol / Johnson City / Kingsport, Tennessee, United States"
TRJ,AYTT,Tarakbits Airport[1],"Tarakbits, Papua New Guinea"
TRK,WALR,Juwata International Airport,"Tarakan, Indonesia"
TRL,KTRL,Terrell Municipal Airport,"Terrell, Texas, United States"
TRM,KTRM,Jacqueline Cochran Regional Airport,"Thermal, California, United States"
TRN,LIMF,Turin Airport (Caselle Airport),"Turin, Piedmont, Italy"
TRO,YTRE,Taree Airport[1],"Taree, New South Wales, Australia"
TRQ,SBTK,José Galera dos Santos Airport[1],"Tarauacá, Acre, Brazil"
TRR,VCCT,China Bay Airport,"Trincomalee, Sri Lanka"
TRS,LIPQ,Trieste – Friuli Venezia Giulia Airport (Ronchi dei Legionari Airport),"Trieste, Friuli-Venezia Giulia, Italy"
TRU,SPRU,FAP Captain Carlos Martínez de Pinillos International Airport,"Trujillo, Peru"
TRV,VOTV,Trivandrum International Airport,"Thiruvananthapuram, Kerala, India"
TRW,NGTA,Bonriki International Airport,"Tarawa, Kiribati"
TRX,KTRX,Trenton Municipal Airport,"Trenton, Missouri, United States"
TRY,HUTO,Tororo Airport[1],"Tororo, Uganda"
TRZ,VOTR,Tiruchirappalli International Airport,"Tiruchirappalli (Tiruchchirappalli), Tamil Nadu, India"
TSA,RCSS,Taipei Songshan Airport,"Taipei, Taiwan"
TSB,FYTM,Tsumeb Airport[1],"Tsumeb, Namibia"
TSC,SETH,Taisha Airport[1],"Taisha, Ecuador"
TSD,,Tshipise Airport[1],"Tshipise, South Africa"
TSF,LIPH,Treviso-Sant'Angelo Airport,"Treviso / Venice, Veneto, Italy"
TSG,,Tanacross Airport,"Tanacross, Alaska, United States"
TSH,FZUK,Tshikapa Airport[1],"Tshikapa, Democratic Republic of the Congo"
TSI,,Tsile Tsile Airport[1],"Tsili Tsili (Tsile Tsile), Papua New Guinea"
TSJ,RJDT,Tsushima Airport,"Tsushima, Tsushima Island, Japan"
TSK,,Taskul Airport[1],"Taskul, Papua New Guinea"
TSL,MMTN,Tamuín National Airport,"Tamuín, San Luis Potosí, Mexico"
